Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Bostrychia hagedash,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Eudocimus ruber,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Geronticus eremita,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Nipponia nippon ,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Platalea ajaja,Hagedashia hagedash,72
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Platalea leucorodia,Hagedashia hagedash,70
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Plegadis falcinellus,Hagedashia hagedash,50
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Threskiornis aethiopicus,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Threskiornis melanocephalus,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Threskiornis molucca,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Threskiornithidae,"Ibises, Spoonbills",Threskiornis spinicollis,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardea cinerea,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardea cocoi,Hagedashia hagedash,64
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardea goliath,Hagedashia hagedash,68
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardea intermedia,Egretta intermedia,66
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardea purpurea,Egretta intermedia,66
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardeola bacchus,Egretta intermedia,68
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ardeola grayii,Egretta intermedia,68
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Botaurus stellaris,Egretta intermedia,62
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Bubulcus ibis,Ibis Ibis,60
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Cochlearius cochlearius,Ibis Ibis,74
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Egretta eulophotes,Ibis Ibis,64
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Egretta garzetta,Ibis Ibis,62
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Egretta gularis,Ibis Ibis,62
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ixobrychus cinnamomeus,Ibis Ibis,64
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ixobrychus eurhythmus,Ibis Ibis,64
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Ixobrychus sinensis,Ibis Ibis,60
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Nycticorax nycticorax,Ibis Ibis,64
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Syrigma sibilatrix,Ibis Ibis,62
NEOGNATHAE,PELECANIFORMES,Ardeidae,"Herons, Bitterns",Tigrisoma lineatum,Ibis Ibis,72
NEOGNATHAE,PELECANIFORMES,Balaenicipitidae,Shoebill,Balaeniceps rex,Ibis Ibis,72
NEOGNATHAE,PELECANIFORMES,Pelecanidae,Pelicans,Pelecanus crispus,Ibis Ibis,66
NEOGNATHAE,PELECANIFORMES,Pelecanidae,Pelicans,Pelecanus occidentalis,Ibis Ibis,66
NEOGNATHAE,PELECANIFORMES,Pelecanidae,Pelicans,Pelecanus onocrotalus,Ibis Ibis,66
NEOGNATHAE,PELECANIFORMES,Scopidae,Hamerkop,Scopus umbretta,Ibis Ibis,66
